sample,source_label,estimated_proportion,true_proportion,ratio_objective
mel90,Decontaminated,0.0,0.0,0.0003139510214478779
mel90,Cropland,0.9322821125023472,0.9,0.0003139510214478779
mel90,Forest,0.0677178874976529,0.1,0.0003139510214478779
mel91,Subsurface,0.051615757621854406,0.0,0.005250618069430555
mel91,Decontaminated,3.2910618132618585e-17,0.0,0.005250618069430555
mel91,Cropland,1.9663869870508582e-18,0.1,0.005250618069430555
mel91,Forest,0.9483842423781457,0.9,0.005250618069430555
mel92,Subsurface,0.5209110751451422,0.5,0.00034301742048355595
mel92,Decontaminated,0.47908892485485777,0.5,0.00034301742048355595
mel92,Cropland,2.7062702664774896e-19,0.0,0.00034301742048355595
mel92,Forest,6.988021814847978e-20,0.0,0.00034301742048355595
mel93,Subsurface,0.36819653856934614,0.5,0.0009497666704565563
mel93,Decontaminated,5.683167559602728e-18,0.0,0.0009497666704565563
mel93,Cropland,0.6199037324577801,0.5,0.0009497666704565563
mel93,Forest,0.011899728972873714,0.0,0.0009497666704565563
mel94,Subsurface,0.30950875046829623,0.5,0.0027129153890825316
mel94,Decontaminated,0.0979694588928163,0.0,0.0027129153890825316
mel94,Cropland,0.23344732288471176,0.0,0.0027129153890825316
mel94,Forest,0.3590744677541757,0.5,0.0027129153890825316
mel95,Subsurface,0.0,0.0,0.0006964988520021813
mel95,Decontaminated,0.3555734871612578,0.5,0.0006964988520021813
mel95,Cropland,0.6063396974174338,0.5,0.0006964988520021813
mel95,Forest,0.0380868154213085,0.0,0.0006964988520021813
mel96,Subsurface,0.0,0.0,0.002907325540888013
mel96,Decontaminated,0.28524800020975954,0.5,0.002907325540888013
mel96,Cropland,0.1510750086723044,0.0,0.002907325540888013
mel96,Forest,0.5636769911179361,0.5,0.002907325540888013
mel97,Subsurface,5.4303282248473195e-18,0.0,0.001015790422186072
mel97,Decontaminated,0.0,0.0,0.001015790422186072
mel97,Cropland,0.5792256849788883,0.5,0.001015790422186072
mel97,Forest,0.42077431502111173,0.5,0.001015790422186072
