theta,rho,y,surface_charge_density
0.6619409270105584,0.3073245067025689,0.8944003645789678,-2.2709198523006586
0.6724479258519959,0.3114514309302887,0.8911495956427357,-2.274914044312918
0.6829549246934333,0.31554397216302643,0.88785564535221,-2.275655518676336
0.6934619235348707,0.319601678600563,0.8845188773463566,-2.2772000167431052
0.7039689223763081,0.3236241022883021,0.8811396599910466,-2.2787635000593385
0.7144759212177456,0.3276107991667218,0.8777183663383896,-2.279773252831589
0.7249829200591831,0.3315613291203976,0.8742553740855505,-2.282568137344663
0.7354899189006204,0.33547525602658895,0.8707510655330535,-2.286895060007523
0.7459969177420579,0.3393521478033859,0.8672058275425771,-2.2897559000764893
0.7565039165834954,0.3431915764574088,0.8636200514942466,-2.291775724342208
0.7670109154249328,0.34699311813105715,0.8599941332434269,-2.294132760022374
0.7775179142663702,0.35075635314930215,0.8563284730770221,-2.2975442785999913
0.7880249131078076,0.3544808660660167,0.8526234756692849,-2.301370516646646
0.7985319119492451,0.3581662457098391,0.8488795500371427,-2.303461684050701
0.8090389107906826,0.36181208522956515,0.8450971094950432,-2.306139038756064
0.8195459096321199,0.365417982139062,0.8412765716093271,-2.312309237824003
0.8300529084735574,0.3689835383617021,0.8374183581521288,-2.3177456349681766
0.8405599073149949,0.3725083602743084,0.8335228950548164,-2.323330346604184
0.8510669061564322,0.37599205875060915,0.8295906123609689,-2.327688864106155
0.8615739049978697,0.379434249204196,0.8256219441789022,-2.3321130701510993
0.8720809038393071,0.3828345516309804,0.8216173286337447,-2.337687852888148
0.8825879026807446,0.3861925906511451,0.8175772078190705,-2.343321219830539
0.893094901522182,0.3895079955505839,0.8135020277480933,-2.348050641765819
0.9036019003636194,0.39278040032182776,0.8093922383044292,-2.351448842264582
0.9141088992050569,0.3960094437044499,0.8052482931924306,-2.3506598759687742
0.9246158980464944,0.39919476922494795,0.8010706498870996,-2.353122107234978
0.9351228968879317,0.4023360252360969,0.7968597695835844,-2.359094924509546
0.9456298957293692,0.4054328649557698,0.7926161171462647,-2.3646320633368503
0.9561368945708066,0.408484946505221,0.7883401610574335,-2.3670240160105687
0.9666438934122441,0.41149193294682823,0.7840323733655779,-2.369448536870553
0.9771508922536815,0.414453492321289,0.7796932296332667,-2.3771660682358586
0.9876578910951189,0.417369297684268,0.7753232088846504,-2.3881320925964955
0.9981648899365564,0.42023902714248995,0.7709227935525795,-2.392558954899114
1.0086718887779937,0.42306236388927565,0.7664924694253443,-2.3928897241159883
1.0191788876194312,0.4258389962395162,0.7620327255930475,-2.392087640513811
1.0296858864608687,0.42856861766408155,0.7575440543936092,-2.4029111832581673
1.0401928853023061,0.4312509268236602,0.7530269513584158,-2.414843847501135
1.0506998841437436,0.4338856276020259,0.7484819151576148,-2.419793174037816
1.061206882985181,0.4364724291387279,0.7439094475450636,-2.419901461656179
1.0717138818266183,0.4390110458612002,0.7393100533029383,-2.4228156131273435
1.0822208806680558,0.44150119751628836,0.7346842401860069,-2.4318777555585265
1.0927278795094932,0.4439426092011876,0.7300325188655761,-2.441338673782453
1.1032348783509307,0.4463350113937916,0.7253554028731148,-2.447842707062799
1.1137418771923682,0.44867813998244627,0.7206534085435625,-2.4515124850465737
1.1242488760338056,0.4509717362951068,0.7159270549583276,-2.457487059945642
1.134755874875243,0.4532155471278939,0.7111768638879832,-2.4638982376316556
1.1452628737166806,0.4554093247730466,0.7064033597346655,-2.469781996548699
1.1557698725581178,0.45755282704626815,0.7016070694741824,-2.4758852148467874
1.1662768713995553,0.4596458173134623,0.6967885225978365,-2.4849651453783923
1.1767838702409927,0.4616880645168567,0.6919482510539723,-2.4942921487394916
1.1872908690824302,0.4636793432005104,0.687086789189251,-2.5001025917146693
1.1977978679238677,0.465619433535204,0.6822046736896606,-2.505979178352976
1.2083048667653051,0.4675081213427074,0.6773024435212678,-2.5112307105760707
1.2188118656067426,0.4693451981194243,0.6723806398707185,-2.5218849112130917
1.2293188644481798,0.4711304610594102,0.6674398060854931,-2.534042960949525
1.2398258632896173,0.4728637130767616,0.6624804876139226,-2.5373688118105098
1.2503328621310548,0.47454476282737307,0.657503231944974,-2.5380149813315573
1.2608398609724922,0.4761734247300611,0.6525085885478088,-2.5442991694328465
1.2713468598139297,0.47774951898705165,0.6474971088111248,-2.560940688984969
